file_id	speaker	gender	Welsh	lexeme	vowel	vtype	next_cons	Ctype	dur_vwl	dur_cns	breath_dur_ms	brNORM	preasp_dur_ms	PRE_DUR	PRE_DUR_NORM	preNORM	br	pre	PRE	closure_dur_ms	burst_dur_ms	f0_ofst_rt	jitter	shimmer	max_F0	mean_F0	mean_f1_Hz	mean_f2_Hz	mean_f3_Hz	vwl_intensity_dB	zcr_1	zcr_2	zcr_3	zcr_4	zcr_5	zcr_breath	zcr_preasp	ZCR
George-digon-1	6	M	L2	digon	i	mon	g	lenis	57	379	0	NA	0	0	NA	NA	2no	2no	2no	95	37	-78	0.022	0.108	107	105	350	2086	3546	69	650	650	600	933	300	0	0	0
Luke-cip-1	7	M	L2	cip	i	mon	1p	fortis	61	202	0	NA	0	0	NA	NA	2no	2no	2no	122	70	-10	0.047	0.096	150	146	388	2174	2900	69	800	900	867	1050	1000	0	0	0
Luke-siop-1	7	M	L2	siop	io	diph	1p	fortis	125	176	0	NA	0	0	NA	NA	2no	2no	2no	121	45	-4	0.024	0.144	142	133	532	1436	2810	70	860	920	1060	1100	950	0	0	0
Luke-tipyn-1	7	M	L2	tipyn	i	mon	1p	fortis	33	373	0	NA	0	0	NA	NA	2no	2no	2no	99	30	-79	0.003	--undefined--	137	136	334	2015	2701	64	800	700	900	700	300	0	0	0
Luke-tipyn-2	7	M	L2	tipyn	i	mon	1p	fortis	40	350	0	NA	0	0	NA	NA	2no	2no	2no	91	39	-78	0.056	0.1	145	135	356	1932	2725	64	700	800	800	800	400	0	0	0
Luke-cwpan-1	7	M	L2	cwpan	w	mon	1p	fortis	37	372	0	NA	0	0	NA	NA	2no	2no	2no	92	29	-78	0.053	--undefined--	137	134	429	1511	3161	63	1100	700	850	800	600	0	0	0
Luke-twp-1	7	M	L2	twp	w	mon	1p	fortis	80	232	0	NA	0	0	NA	NA	2no	2no	2no	129	93	-16	0.009	0.053	156	153	451	1070	2839	74	900	900	933	900	733	0	0	0
Luke-pwtyn-1	7	M	L2	pwtyn	w	mon	2t	fortis	53	405	0	NA	0	0	NA	NA	2no	2no	2no	102	80	-80	0.006	0.094	148	147	411	965	2666	70	850	850	900	1000	700	0	0	0
Luke-baban-1	7	M	L2	baban	a	mon	b	lenis	89	424	0	NA	0	0	NA	NA	2no	2no	2no	127	13	-80	0.021	0.111	144	139	593	943	2861	72	1133	1150	1133	1175	967	0	0	0
Luke-gwlyb-1	7	M	L2	gwlyb	y	mon	b	lenis	NA	144	0	NA	0	0	NA	NA	2no	2no	2no	94	40	-36	0.007	0.052	149	144	412	1887	2821	72	850	867	889	889	733	0	0	0
Luke-pobl-1	7	M	L2	pobl	o	mon	b	lenis	48	348	0	NA	0	0	NA	NA	2no	2no	2no	116	20	-78	0.049	0.121	139	135	453	830	2841	69	1000	850	800	750	450	0	0	0
Luke-bod-1	7	M	L2	bod	o	mon	d	lenis	214	146	0	NA	0	0	NA	NA	2no	2no	2no	89	47	-28	0.008	0.069	139	136	509	846	2969	71	950	1067	1088	1111	850	0	0	0
Luke-budr-1	7	M	L2	budr	u	mon	d	lenis	78	361	0	NA	0	0	NA	NA	2no	2no	2no	113	19	-78	0.018	0.091	148	142	399	1882	2782	71	833	867	867	800	600	0	0	0
Luke-pedwar-1	7	M	L2	pedwar	e	mon	d	lenis	58	392	0	NA	0	0	NA	NA	2no	2no	2no	112	19	-78	0.039	0.16	157	147	439	1783	2767	67	1050	850	867	900	1000	0	0	0
Luke-cwd-1	7	M	L2	cwd	w	mon	d	lenis	174	191	0	NA	0	0	NA	NA	2no	2no	2no	140	41	-21	0.011	0.042	155	135	363	963	2732	70	833	814	800	771	686	0	0	0
Luke-dagr-1	7	M	L2	dagr	a	mon	g	lenis	106	363	0	NA	0	0	NA	NA	2no	2no	2no	102	24	-80	0.012	0.077	150	139	605	1548	2621	72	1100	1125	1250	975	725	0	0	0
Ruth-gwlyb-1	8	F	L2	gwlyb	y	mon	b	lenis	NA	193	0	NA	0	0	NA	NA	2no	2no	2no	84	99	-41	0.003	0.039	198	191	538	2024	3232	79	1156	1140	1156	1120	944	0	0	0
Ruth-pobl-1	8	F	L2	pobl	o	mon	b	lenis	78	397	0	NA	0	0	NA	NA	2no	2no	2no	119	11	-80	0.027	0.122	226	204	462	1045	2522	77	933	1267	1133	900	633	0	0	0
